,Home,Away,ScoreHome,ScoreAway,Score,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,AOAW,AOD,AOHW,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_5_gte80,Probability_6_gte80,Probability_7_gte80,Probability_8_gte80,Probability_9_gte80,Probability_10_gte80
34,FC Helsingor,FC Fredericia,,,,3.89,7.57,7.36,4.78,5.06,9.85,9.58,6.21,3.29,6.4,6.23,4.04,1.43,2.78,2.7,1.75,12.92,0.31,3.84,47.0,54.0,60.0,66.0,71.0,76.0,0,0,0,0,0,0
35,Haugesund,Aalesund,,,,6.38,4.67,1.71,0.42,12.89,9.44,3.45,0.84,13.02,9.53,3.49,0.85,8.76,6.41,2.35,0.57,0.58,0.06,14.58,59.0,68.0,75.0,81.0,86.0,89.0,0,0,0,1,1,1
36,Mazatlán,Club Queretaro,,,,6.9,8.06,4.71,1.83,10.39,12.14,7.09,2.76,7.82,9.13,5.33,2.08,3.92,4.58,2.68,1.04,2.93,0.12,6.47,48.0,55.0,62.0,68.0,73.0,78.0,0,0,0,0,0,0
37,Cruz Azul,Leon,,,,7.64,10.3,6.94,3.12,9.34,12.6,8.5,3.82,5.72,7.71,5.2,2.34,2.33,3.15,2.12,0.95,4.67,0.11,3.45,48.0,56.0,63.0,69.0,74.0,79.0,0,0,0,0,0,0
38,Pachuca,Puebla,,,,3.81,3.97,2.07,0.72,8.49,8.83,4.6,1.59,9.45,9.83,5.12,1.77,7.01,7.29,3.8,1.32,1.81,0.21,18.31,55.0,62.0,69.0,74.0,79.0,83.0,0,0,0,0,0,1
39,Guadalajara Chivas,Tigres UANL,,,,14.64,13.66,6.38,1.98,14.47,13.5,6.3,1.96,7.15,6.67,3.11,0.97,2.35,2.2,1.03,0.32,1.49,0.02,1.8,63.0,70.0,76.0,83.0,86.0,88.0,0,0,0,1,1,1
40,Consadole Sapporo,Yokohama FC,,,,3.27,3.26,1.63,0.54,7.92,7.91,3.94,1.31,9.6,9.57,4.78,1.59,7.75,7.73,3.86,1.28,1.51,0.21,22.33,57.0,65.0,73.0,78.0,82.0,85.0,0,0,0,0,1,1
41,Kashima,Urawa,,,,20.13,15.89,6.27,1.65,16.37,12.93,5.1,1.34,6.66,5.26,2.08,0.55,1.81,1.43,0.56,0.15,0.86,0.01,0.95,72.0,78.0,84.0,89.0,91.0,92.0,0,0,1,1,1,1
42,Shonan Bellmare,Vissel Kobe,,,,2.36,7.18,10.9,11.03,1.67,5.08,7.72,7.81,0.59,1.8,2.73,2.77,0.14,0.42,0.65,0.65,35.96,0.1,0.4,73.0,81.0,86.0,88.0,91.0,94.0,0,1,1,1,1,1
43,Kyoto Sanga,Albirex Niigata,,,,16.36,14.71,6.62,1.98,14.9,13.4,6.03,1.81,6.79,6.11,2.75,0.82,2.06,1.85,0.83,0.25,1.33,0.01,1.39,66.0,73.0,79.0,85.0,88.0,90.0,0,0,0,1,1,1
44,Cerezo Osaka,Gamba Osaka,,,,3.95,3.58,1.62,0.49,9.18,8.32,3.78,1.14,10.67,9.68,4.39,1.33,8.27,7.5,3.4,1.03,1.13,0.15,20.4,58.0,67.0,74.0,78.0,82.0,86.0,0,0,0,0,1,1
45,Avispa Fukuoka,Yokohama F. Marinos,,,,11.94,12.91,6.98,2.51,12.47,13.48,7.28,2.62,6.51,7.04,3.8,1.37,2.27,2.45,1.32,0.48,2.39,0.04,2.14,58.0,65.0,72.0,79.0,82.0,85.0,0,0,0,0,1,1
46,FC Tokyo,Sanfrecce Hiroshima,,,,9.29,9.29,4.65,1.55,12.78,12.79,6.39,2.13,8.8,8.8,4.4,1.47,4.03,4.04,2.02,0.67,1.82,0.06,5.03,53.0,62.0,68.0,73.0,78.0,82.0,0,0,0,0,0,1
47,Shimizu S-pulse,Roasso Kumamoto,,,,9.86,7.63,2.95,0.76,15.21,11.77,4.55,1.17,11.74,9.08,3.51,0.91,6.04,4.67,1.81,0.47,0.76,0.04,7.08,58.0,65.0,72.0,78.0,83.0,88.0,0,0,0,0,1,1
48,Vegalta Sendai,Renofa Yamaguchi,,,,15.9,10.01,3.15,0.66,19.23,12.1,3.81,0.8,11.63,7.32,2.3,0.48,4.69,2.95,0.93,0.19,0.38,0.01,3.45,69.0,76.0,81.0,85.0,88.0,91.0,0,0,1,1,1,1
49,Jubilo Iwata,Tokyo Verdy,,,,6.83,12.01,10.55,6.18,6.32,11.12,9.77,5.73,2.93,5.15,4.52,2.65,0.9,1.59,1.4,0.82,10.09,0.09,1.35,54.0,60.0,67.0,73.0,79.0,84.0,0,0,0,0,0,1
50,Fujieda MYFC,Mito Hollyhock,,,,7.38,9.63,6.28,2.73,9.61,12.53,8.18,3.56,6.25,8.16,5.32,2.31,2.71,3.54,2.31,1.0,4.2,0.11,4.17,48.0,55.0,62.0,68.0,73.0,78.0,0,0,0,0,0,0
51,V-varen Nagasaki,Tokushima Vortis,,,,3.62,4.55,2.87,1.2,7.45,9.38,5.91,2.48,7.68,9.67,6.08,2.55,5.27,6.64,4.18,1.75,3.41,0.32,14.98,49.0,56.0,62.0,68.0,73.0,78.0,0,0,0,0,0,0
